Id,Name,LandfallDate,MaxWindSpeed
AL061900,UNNAMED,1900-10-12,40
AL011901,UNNAMED,1901-06-14,35
AL041901,UNNAMED,1901-08-11,80
AL081901,UNNAMED,1901-09-17,70
AL101901,UNNAMED,1901-09-28,45
AL011902,UNNAMED,1902-06-15,50
AL041902,UNNAMED,1902-10-10,90
AL031903,UNNAMED,1903-09-14,80
AL041904,UNNAMED,1904-10-20,70
AL061904,UNNAMED,1904-11-03,45
AL011906,UNNAMED,1906-06-13,45
AL021906,UNNAMED,1906-06-17,90
AL081906,UNNAMED,1906-10-22,105
AL011907,UNNAMED,1907-06-29,55
AL021907,UNNAMED,1907-09-19,40
AL031907,UNNAMED,1907-09-28,45
AL031909,UNNAMED,1909-07-01,45
AL081909,UNNAMED,1909-08-30,45
AL101909,UNNAMED,1909-09-26,50
AL111909,UNNAMED,1909-10-11,105
AL051910,UNNAMED,1910-10-19,130
AL061911,UNNAMED,1911-11-01,45
AL051912,UNNAMED,1912-10-04,80
AL011914,UNNAMED,1914-09-18,60
AL011915,UNNAMED,1915-08-02,65
AL041915,UNNAMED,1915-09-04,85
AL011916,UNNAMED,1916-05-15,50
AL071916,UNNAMED,1916-08-26,95
AL151916,UNNAMED,1916-11-16,60
AL041917,UNNAMED,1917-09-29,130
AL011919,UNNAMED,1919-07-04,55
AL021919,UNNAMED,1919-09-10,130
AL051920,UNNAMED,1920-09-30,75
AL051921,UNNAMED,1921-10-16,70
AL061921,UNNAMED,1921-10-26,120
AL051924,UNNAMED,1924-09-16,75
AL081924,UNNAMED,1924-09-29,65
AL101924,UNNAMED,1924-10-21,145
AL041925,UNNAMED,1925-12-01,80
AL011926,UNNAMED,1926-07-29,120
AL071926,UNNAMED,1926-09-20,130
AL011928,UNNAMED,1928-08-10,90
AL021928,UNNAMED,1928-08-14,80
AL041928,UNNAMED,1928-09-18,140
AL021929,UNNAMED,1929-10-01,135
AL021930,UNNAMED,1930-09-10,135
AL031932,UNNAMED,1932-08-30,75
AL061932,UNNAMED,1932-09-15,65
AL051933,UNNAMED,1933-07-31,80
AL111933,UNNAMED,1933-09-05,120
AL031934,UNNAMED,1934-07-23,75
AL111934,UNNAMED,1934-10-06,50
AL031935,UNNAMED,1935-09-05,160
AL071935,UNNAMED,1935-11-05,90
AL011936,UNNAMED,1936-06-15,40
AL051936,UNNAMED,1936-07-31,90
AL091936,UNNAMED,1936-08-22,50
AL011937,UNNAMED,1937-07-30,60
AL031937,UNNAMED,1937-08-31,60
AL071937,UNNAMED,1937-09-21,50
AL021939,UNNAMED,1939-08-13,65
AL051941,UNNAMED,1941-10-07,105
AL061941,UNNAMED,1941-10-22,45
AL131944,UNNAMED,1944-10-19,125
AL011945,UNNAMED,1945-06-24,85
AL071945,UNNAMED,1945-09-05,35
AL091945,UNNAMED,1945-09-17,115
AL061946,UNNAMED,1946-10-08,85
AL071946,UNNAMED,1946-11-03,40
AL041947,UNNAMED,1947-09-18,125
AL061947,UNNAMED,1947-09-24,55
AL071947,UNNAMED,1947-10-08,50
AL091947,UNNAMED,1947-10-12,90
AL021948,UNNAMED,1948-07-09,35
AL081948,UNNAMED,1948-09-22,115
AL091948,UNNAMED,1948-10-06,110
AL021949,UNNAMED,1949-08-28,115
AL051950,EASY,1950-09-07,105
AL111950,KING,1950-10-19,115
AL131950,LOVE,1950-10-21,70
AL091951,HOW,1951-10-02,85
